student_id;subject;result
25;geography;60
25;history;71
25;lo;45
25;it;74
25;pe;65
26;math;64
26;english;67
26;science;48
26;biology;50
26;geography;47
26;history;51
26;lo;85
26;it;51
26;pe;90
27;math;74
27;english;49
27;science;98
27;biology;71
27;geography;89
27;history;86
27;lo;71
27;it;54
27;pe;78
28;math;69
28;english;93
28;science;53
28;biology;46
28;geography;72
28;history;53
28;lo;65
28;it;40
28;pe;81
29;math;54
29;english;81
29;science;75
29;biology;85
29;geography;59
29;history;89
29;lo;42
29;it;95
29;pe;51
30;math;99
30;english;91
30;science;62
30;biology;99
30;geography;60
30;history;98
30;lo;78
30;it;60
30;pe;50
31;math;41
31;english;50
31;science;59
31;biology;73
31;geography;67
31;history;41
31;lo;73
31;it;79
31;pe;52
32;math;63
32;english;40
32;science;57
32;biology;86
32;geography;82
32;history;57
32;lo;86
32;it;79
32;pe;61
33;math;85
33;english;64
33;science;97
33;biology;41
33;geography;46
33;history;75
33;lo;75
33;it;96
33;pe;77
34;math;64
34;english;49
34;science;97
34;biology;40
34;geography;91
34;history;88
34;lo;97
34;it;94
34;pe;55
35;math;40
35;english;62
35;science;69
35;biology;99
35;geography;59
35;history;92
35;lo;63
35;it;44
35;pe;75
36;math;44
36;english;56
36;science;52
36;biology;58
36;geography;89
36;history;88
36;lo;42
36;it;63
36;pe;77
37;math;90
37;english;54
37;science;57
37;biology;50
37;geography;76
37;history;91
37;lo;95
37;it;96
37;pe;73
38;math;95
38;english;56
38;science;63
38;biology;63
38;geography;41
38;history;93
38;lo;59
38;it;50
38;pe;74
39;math;78
39;english;44
39;science;79
39;biology;91
39;geography;50
39;history;78
39;lo;45
39;it;66
39;pe;43
40;math;89
40;english;41
40;science;95
40;biology;79
40;geography;71
40;history;42
40;lo;84
40;it;94
40;pe;49
41;math;46
41;english;61
41;science;68
41;biology;45
41;geography;64
41;history;47
41;lo;90
41;it;66
41;pe;63
42;math;93
42;english;49
42;science;69
42;biology;85
42;geography;73
42;history;74
42;lo;89
42;it;75
42;pe;68
43;math;68
43;english;69
43;science;45
43;biology;45
43;geography;50
43;history;95
43;lo;90
43;it;84
43;pe;78
44;math;44
44;english;53
44;science;65
44;biology;68
44;geography;75
44;history;69
44;lo;43
44;it;90
44;pe;98
45;math;68
45;english;86
45;science;51
45;biology;87
45;geography;92
45;history;42
45;lo;95
45;it;93
45;pe;71
46;math;51
46;english;79
46;science;40
46;biology;67
46;geography;96
46;history;82
46;lo;76
46;it;82
46;pe;40
47;math;94
47;english;58
47;science;43
47;biology;73
47;geography;84
47;history;56
47;lo;80
47;it;48
47;pe;86
48;math;71
48;english;75
48;science;52
48;biology;94
48;geography;71
48;history;44
48;lo;100
48;it;52
48;pe;74
49;math;69
49;english;68
49;science;75
49;biology;46
49;geography;43
49;history;87
49;lo;60
49;it;87
49;pe;100
50;math;56
50;english;40
50;science;46
50;biology;94
50;geography;45
50;history;43
50;lo;80
50;it;70
50;pe;82
51;math;89
51;english;55
51;science;98
51;biology;46
51;geography;42
51;history;46
51;lo;51
51;it;77
51;pe;68
52;math;83
52;english;96
52;science;83
52;biology;61
52;geography;91
52;history;47
52;lo;75
52;it;51
52;pe;82
53;math;49
53;english;43
53;science;97
53;biology;84
53;geography;71
53;history;81
53;lo;68
53;it;52
53;pe;51
54;math;58
54;english;99
54;science;79
54;biology;55
54;geography;47
54;history;46
54;lo;52
54;it;65
54;pe;88
55;math;87
55;english;68
55;science;45
55;biology;60
55;geography;68
55;history;58
55;lo;80
55;it;45
55;pe;76
56;math;44
56;english;92
56;science;60
56;biology;94
56;geography;73
56;history;72
56;lo;73
56;it;84
56;pe;91
57;math;76
57;english;88
57;science;52
57;biology;69
57;geography;48
57;history;79
57;lo;81
57;it;44
57;pe;47
58;math;40
58;english;78
58;science;69
58;biology;98
58;geography;42
58;history;52
58;lo;68
58;it;83
58;pe;68
59;math;58
59;english;55
59;science;42
59;biology;60
59;geography;85
59;history;75
59;lo;72
59;it;74
59;pe;94
60;math;68
60;english;97
60;science;72
60;biology;85
60;geography;97
60;history;57
60;lo;43
60;it;81
60;pe;84
61;math;45
61;english;64
61;science;42
61;biology;82
61;geography;81
61;history;75
61;lo;94
61;it;91
61;pe;71
62;math;92
62;english;79
62;science;63
62;biology;84
62;geography;88
62;history;46
62;lo;84
62;it;49
62;pe;52
63;math;84
63;english;41
63;science;74
63;biology;47
63;geography;60
63;history;93
63;lo;99
63;it;71
63;pe;55
64;math;84
64;english;76
64;science;92
64;biology;100
64;geography;44
64;history;53
64;lo;94
64;it;43
64;pe;61
65;math;52
65;english;89
65;science;48
65;biology;86
65;geography;64
65;history;65
65;lo;97
65;it;92
65;pe;40
66;math;47
66;english;83
66;science;58
66;biology;94
66;geography;75
66;history;43
66;lo;42
66;it;99
66;pe;89
67;math;63
67;english;65
67;science;92
67;biology;81
67;geography;63
67;history;51
67;lo;75
67;it;63
67;pe;94
68;math;95
68;english;95
68;science;65
68;biology;51
68;geography;50
68;history;70
68;lo;47
68;it;91
68;pe;55
69;math;70
69;english;51
69;science;93
69;biology;46
69;geography;68
69;history;80
69;lo;62
69;it;74
69;pe;84
70;math;53
70;english;53
70;science;51
70;biology;79
70;geography;46
70;history;88
70;lo;61
70;it;56
70;pe;58
71;math;81
71;english;97
71;science;40
71;biology;61
71;geography;59
71;history;82
71;lo;55
71;it;70
71;pe;54
72;math;49
72;english;92
72;science;58
72;biology;54
72;geography;95
72;history;63
72;lo;99
72;it;96
72;pe;41
73;math;49
73;english;85
73;science;51
73;biology;45
73;geography;73
73;history;84
73;lo;46
73;it;44
73;pe;82
74;math;68
74;english;78
74;science;85
74;biology;50
74;geography;54
74;history;40
74;lo;44
74;it;74
74;pe;44
75;math;52
75;english;40
75;science;100
75;biology;42
75;geography;41
75;history;94
75;lo;69
75;it;91
75;pe;41
76;math;74
76;english;47
76;science;90
76;biology;89
76;geography;99
76;history;69
76;lo;74
76;it;51
76;pe;54
77;math;41
77;english;56
77;science;54
77;biology;86
77;geography;82
77;history;41
77;lo;60
77;it;79
77;pe;94
78;math;51
78;english;67
78;science;97
78;biology;84
78;geography;58
78;history;46
78;lo;92
78;it;63
78;pe;80
79;math;48
79;english;78
79;science;79
79;biology;84
79;geography;93
79;history;90
79;lo;94
79;it;54
79;pe;59
80;math;92
80;english;67
80;science;70
80;biology;53
80;geography;59
80;history;73
80;lo;64
80;it;46
80;pe;66
81;math;41
81;english;98
81;science;53
81;biology;40
81;geography;80
81;history;82
81;lo;69
81;it;67
81;pe;64
82;math;73
82;english;49
82;science;47
82;biology;65
82;geography;54
82;history;85
82;lo;96
82;it;92
82;pe;63
83;math;49
83;english;67
83;science;89
83;biology;51
83;geography;88
83;history;73
83;lo;91
83;it;85
83;pe;74
84;math;77
84;english;61
84;science;88
84;biology;57
84;geography;62
84;history;65
84;lo;45
84;it;56
84;pe;76
85;math;69
85;english;44
85;science;79
85;biology;64
85;geography;49
85;history;50
85;lo;40
85;it;61
85;pe;46
86;math;72
86;english;89
86;science;87
86;biology;75
86;geography;51
86;history;93
86;lo;57
86;it;49
86;pe;70
87;math;89
87;english;94
87;science;70
87;biology;79
87;geography;100
87;history;70
87;lo;99
87;it;69
87;pe;89
88;math;47
88;english;83
88;science;59
88;biology;60
88;geography;84
88;history;74
88;lo;60
88;it;58
88;pe;57
89;math;48
89;english;69
89;science;64
89;biology;60
89;geography;90
89;history;87
89;lo;91
89;it;74
89;pe;91
90;math;77
90;english;69
90;science;94
90;biology;50
90;geography;70
90;history;73
90;lo;60
90;it;86
90;pe;63
91;math;83
91;english;44
91;science;93
91;biology;87
91;geography;78
91;history;54
91;lo;98
91;it;49
91;pe;52
92;math;55
92;english;82
92;science;67
92;biology;51
92;geography;52
92;history;64
92;lo;56
92;it;76
92;pe;88
93;math;60
93;english;56
93;science;57
93;biology;85
93;geography;86
93;history;77
93;lo;60
93;it;40
93;pe;47
94;math;56
94;english;70
94;science;59
94;biology;50
94;geography;90
94;history;82
94;lo;98
94;it;70
94;pe;66
95;math;52
95;english;90
95;science;90
95;biology;95
95;geography;87
95;history;86
95;lo;46
95;it;40
95;pe;50
96;math;82
96;english;51
96;science;48
96;biology;46
96;geography;61
96;history;43
96;lo;57
96;it;54
96;pe;70
97;math;45
97;english;95
97;science;69
97;biology;79
97;geography;98
97;history;52
97;lo;88
97;it;98
97;pe;49
98;math;46
98;english;87
98;science;96
98;biology;69
98;geography;84
98;history;91
98;lo;82
98;it;100
98;pe;100
99;math;42
99;english;80
99;science;49
99;biology;62
99;geography;93
99;history;88
99;lo;50
99;it;94
99;pe;74
100;math;78
100;english;64
100;science;82
100;biology;74
100;geography;86
100;history;75
100;lo;92
100;it;58
100;pe;59
101;math;66
101;english;73
101;science;59
101;biology;69
101;geography;47
101;history;59
101;lo;94
101;it;71
101;pe;66
102;math;55
102;english;72
102;science;59
102;biology;48
102;geography;61
102;history;81
102;lo;68
102;it;55
102;pe;60
103;math;50
103;english;51
103;science;48
103;biology;76
103;geography;66
103;history;64
103;lo;57
103;it;93
103;pe;97
104;math;69
104;english;49
104;science;88
104;biology;91
104;geography;52
104;history;82
104;lo;97
104;it;58
104;pe;74
105;math;50
105;english;90
105;science;49
105;biology;46
105;geography;64
105;history;92
105;lo;48
105;it;93
105;pe;44
106;math;43
106;english;78
106;science;74
106;biology;100
106;geography;53
106;history;40
106;lo;54
106;it;85
106;pe;44
107;math;49
107;english;96
107;science;63
107;biology;57
107;geography;54
107;history;81
107;lo;82
107;it;59
107;pe;56
108;math;58
108;english;69
108;science;99
108;biology;77
108;geography;71
108;history;76
108;lo;51
108;it;40
108;pe;48
109;math;70
109;english;51
109;science;71
109;biology;75
109;geography;49
109;history;41
109;lo;52
109;it;70
109;pe;42
110;math;99
110;english;40
110;science;97
110;biology;56
110;geography;42
110;history;44
110;lo;46
110;it;69
110;pe;61
111;math;51
111;english;77
111;science;58
111;biology;54
111;geography;57
111;history;89
111;lo;58
111;it;46
111;pe;41
112;math;89
112;english;67
112;science;56
112;biology;78
112;geography;71
112;history;90
112;lo;74
112;it;45
112;pe;66
113;math;65
113;english;87
113;science;85
113;biology;89
113;geography;49
113;history;84
113;lo;61
113;it;53
113;pe;69
114;math;60
114;english;44
114;science;74
114;biology;49
114;geography;72
114;history;88
114;lo;70
114;it;69
114;pe;72
115;math;66
115;english;55
115;science;54
115;biology;57
115;geography;97
115;history;59
115;lo;73
115;it;58
115;pe;66
116;math;95
116;english;65
116;science;88
116;biology;80
116;geography;71
116;history;70
116;lo;40
116;it;59
116;pe;77
117;math;96
117;english;61
117;science;87
117;biology;55
117;geography;46
117;history;56
117;lo;97
117;it;75
117;pe;67
118;math;42
118;english;92
118;science;62
118;biology;73
118;geography;94
118;history;54
118;lo;74
118;it;62
118;pe;79
119;math;84
119;english;68
119;science;98
119;biology;86
119;geography;63
119;history;91
119;lo;72
119;it;63
119;pe;52
120;math;76
120;english;81
120;science;88
120;biology;82
120;geography;95
120;history;79
120;lo;98
120;it;96
120;pe;91
121;math;74
121;english;49
121;science;87
121;biology;86
121;geography;80
121;history;64
121;lo;45
121;it;45
121;pe;40
122;math;80
122;english;54
122;science;82
122;biology;73
122;geography;84
122;history;43
122;lo;46
122;it;94
122;pe;74
123;math;95
123;english;50
123;science;60
123;biology;72
123;geography;77
123;history;44
123;lo;49
123;it;42
123;pe;59
124;math;67
124;english;72
124;science;85
124;biology;49
124;geography;67
124;history;55
124;lo;40
124;it;77
124;pe;89
125;math;95
125;english;83
125;science;94
125;biology;46
125;geography;41
125;history;87
125;lo;62
125;it;91
125;pe;78
126;math;46
126;english;45
126;science;95
126;biology;67
126;geography;78
126;history;61
126;lo;95
126;it;55
126;pe;57
127;math;81
127;english;59
127;science;84
127;biology;48
127;geography;86
127;history;56
127;lo;90
127;it;58
127;pe;54
128;math;86
128;english;78
128;science;83
128;biology;100
128;geography;45
128;history;82
128;lo;53
128;it;60
128;pe;81
129;math;64
129;english;70
129;science;50
129;biology;90
129;geography;80
129;history;93
129;lo;94
129;it;69
129;pe;88
130;math;74
130;english;83
130;science;58
130;biology;80
130;geography;73
130;history;56
130;lo;77
130;it;87
130;pe;67
131;math;65
131;english;67
131;science;69
131;biology;41
131;geography;61
131;history;56
131;lo;98
131;it;90
131;pe;43
132;math;44
132;english;93
132;science;40
132;biology;78
132;geography;70
132;history;58
132;lo;90
132;it;73
132;pe;41
133;math;76
133;english;100
133;science;41
133;biology;55
133;geography;87
133;history;58
133;lo;82
133;it;86
133;pe;40
134;math;76
134;english;98
134;science;40
134;biology;50
134;geography;97
134;history;54
134;lo;95
134;it;71
134;pe;51
135;math;54
135;english;87
135;science;89
135;biology;61
135;geography;63
135;history;92
135;lo;98
135;it;50
135;pe;57
136;math;92
136;english;53
136;science;60
136;biology;89
136;geography;82
136;history;98
136;lo;60
136;it;76
136;pe;84
137;math;53
137;english;65
137;science;99
137;biology;62
137;geography;53
137;history;81
137;lo;63
137;it;80
137;pe;79
138;math;99
138;english;46
138;science;60
138;biology;44
138;geography;92
138;history;64
138;lo;93
138;it;68
138;pe;44
139;math;47
139;english;64
139;science;79
139;biology;43
139;geography;81
139;history;77
139;lo;76
139;it;58
139;pe;75
140;math;68
140;english;82
140;science;94
140;biology;86
140;geography;58
140;history;50
140;lo;99
140;it;84
140;pe;53
141;math;42
141;english;82
141;science;58
141;biology;94
141;geography;90
141;history;69
141;lo;99
141;it;60
141;pe;45
142;math;42
142;english;93
142;science;50
142;biology;51
142;geography;64
142;history;53
142;lo;49
142;it;53
142;pe;92
143;math;64
143;english;43
143;science;82
143;biology;68
143;geography;59
143;history;98
143;lo;59
143;it;99
143;pe;46
144;math;97
144;english;42
144;science;55
144;biology;67
144;geography;89
144;history;73
144;lo;64
144;it;75
144;pe;48
145;math;89
145;english;50
145;science;77
145;biology;90
145;geography;87
145;history;78
145;lo;90
145;it;49
145;pe;45
146;math;94
146;english;55
146;science;97
146;biology;93
146;geography;83
146;history;73
146;lo;55
146;it;81
146;pe;85
147;math;46
147;english;41
147;science;41
147;biology;76
147;geography;75
147;history;60
147;lo;91
147;it;68
147;pe;90
148;math;71
148;english;61
148;science;69
148;biology;50
148;geography;71
148;history;85
148;lo;50
148;it;58
148;pe;58
149;math;79
149;english;58
149;science;61
149;biology;61
149;geography;72
149;history;42
149;lo;82
149;it;76
149;pe;71
150;math;46
150;english;74
150;science;82
150;biology;48
150;geography;85
150;history;50
150;lo;88
150;it;68
150;pe;61
151;math;73
151;english;61
151;science;50
151;biology;71
151;geography;92
151;history;97
151;lo;42
151;it;78
151;pe;59
152;math;70
152;english;69
152;science;48
152;biology;79
152;geography;49
152;history;65
152;lo;86
152;it;84
152;pe;43
153;math;40
153;english;58
153;science;82
153;biology;76
153;geography;47
153;history;89
153;lo;40
153;it;53
153;pe;99
154;math;87
154;english;55
154;science;54
154;biology;74
154;geography;95
154;history;61
154;lo;71
154;it;88
154;pe;75
155;math;48
155;english;40
155;science;91
155;biology;81
155;geography;43
155;history;41
155;lo;87
155;it;44
155;pe;57
156;math;92
156;english;81
156;science;71
156;biology;94
156;geography;82
156;history;88
156;lo;85
156;it;73
156;pe;76
157;math;83
157;english;91
157;science;87
157;biology;47
157;geography;69
157;history;83
157;lo;53
157;it;85
157;pe;66
158;math;89
158;english;77
158;science;69
158;biology;72
158;geography;62
158;history;55
158;lo;88
158;it;62
158;pe;76
159;math;42
159;english;43
159;science;95
159;biology;82
159;geography;73
159;history;85
159;lo;46
159;it;98
159;pe;58
160;math;83
160;english;92
160;science;48
160;biology;53
160;geography;49
160;history;59
160;lo;52
160;it;76
160;pe;41
161;math;53
161;english;70
161;science;58
161;biology;55
161;geography;50
161;history;53
161;lo;58
161;it;75
161;pe;83
162;math;40
162;english;54
162;science;86
162;biology;66
162;geography;45
162;history;55
162;lo;89
162;it;54
162;pe;65
163;math;80
163;english;71
163;science;42
163;biology;45
163;geography;89
163;history;76
163;lo;48
163;it;61
163;pe;84
164;math;51
164;english;96
164;science;88
164;biology;57
164;geography;81
164;history;81
164;lo;41
164;it;69
164;pe;81
165;math;41
165;english;54
165;science;88
165;biology;82
165;geography;98
165;history;89
165;lo;97
165;it;92
165;pe;69
166;math;44
166;english;44
166;science;45
166;biology;58
166;geography;54
166;history;47
166;lo;57
166;it;79
166;pe;74
167;math;68
167;english;45
167;science;46
167;biology;70
167;geography;88
167;history;64
167;lo;41
167;it;74
167;pe;90
168;math;97
168;english;66
168;science;49
168;biology;47
168;geography;57
168;history;79
168;lo;89
168;it;100
168;pe;67
169;math;93
169;english;41
169;science;69
169;biology;88
169;geography;93
169;history;61
169;lo;52
169;it;88
169;pe;89
170;math;66
170;english;98
170;science;42
170;biology;80
170;geography;51
170;history;61
170;lo;48
170;it;66
170;pe;51
171;math;84
171;english;44
171;science;45
171;biology;69
171;geography;90
171;history;94
171;lo;96
171;it;58
171;pe;86
172;math;94
172;english;62
172;science;60
172;biology;80
172;geography;64
172;history;81
172;lo;54
172;it;45
172;pe;71
173;math;77
173;english;70
173;science;43
173;biology;93
173;geography;91
173;history;48
173;lo;81
173;it;73
173;pe;81
174;math;91
174;english;45
174;science;54
174;biology;63
174;geography;48
174;history;100
174;lo;87
174;it;64
174;pe;85
175;math;40
175;english;41
175;science;98
175;biology;79
175;geography;45
175;history;51
175;lo;46
175;it;66
175;pe;82
176;math;98
176;english;57
176;science;89
176;biology;94
176;geography;42
176;history;80
176;lo;74
176;it;47
176;pe;78
177;math;61
177;english;94
177;science;77
177;biology;58
177;geography;41
177;history;69
177;lo;48
177;it;72
177;pe;68
178;math;95
178;english;57
178;science;91
178;biology;84
178;geography;88
178;history;64
178;lo;64
178;it;74
178;pe;53
179;math;57
179;english;73
179;science;41
179;biology;95
179;geography;92
179;history;63
179;lo;47
179;it;70
179;pe;79
180;math;59
180;english;45
180;science;86
180;biology;79
180;geography;60
180;history;77
180;lo;95
180;it;67
180;pe;76
181;math;50
181;english;83
181;science;60
181;biology;52
181;geography;79
181;history;91
181;lo;49
181;it;90
181;pe;83
182;math;56
182;english;45
182;science;59
182;biology;76
182;geography;89
182;history;58
182;lo;90
182;it;84
182;pe;72
183;math;60
183;english;40
183;science;53
183;biology;66
183;geography;99
183;history;70
183;lo;46
183;it;97
183;pe;65
184;math;61
184;english;91
184;science;41
184;biology;92
184;geography;64
184;history;46
184;lo;91
184;it;68
184;pe;66
185;math;99
185;english;79
185;science;84
185;biology;94
185;geography;98
185;history;97
185;lo;49
185;it;83
185;pe;74
186;math;54
186;english;75
186;science;45
186;biology;83
186;geography;46
186;history;98
186;lo;64
186;it;65
186;pe;55
187;math;41
187;english;100
187;science;54
187;biology;95
187;geography;84
187;history;63
187;lo;100
187;it;87
187;pe;68
188;math;94
188;english;57
188;science;100
188;biology;77
188;geography;100
188;history;94
188;lo;43
188;it;75
188;pe;92
189;math;81
189;english;47
189;science;93
189;biology;69
189;geography;79
189;history;59
189;lo;76
189;it;49
189;pe;50
190;math;44
190;english;91
190;science;42
190;biology;99
190;geography;74
190;history;89
190;lo;65
190;it;75
190;pe;59
191;math;61
191;english;84
191;science;49
191;biology;68
191;geography;46
191;history;67
191;lo;88
191;it;55
191;pe;97
192;math;68
192;english;73
192;science;64
192;biology;70
192;geography;78
192;history;92
192;lo;42
192;it;93
192;pe;82
193;math;64
193;english;82
193;science;41
193;biology;75
193;geography;44
193;history;69
193;lo;80
193;it;80
193;pe;62
194;math;56
194;english;62
194;science;50
194;biology;91
194;geography;77
194;history;90
194;lo;51
194;it;91
194;pe;54
195;math;43
195;english;95
195;science;42
195;biology;69
195;geography;72
195;history;49
195;lo;58
195;it;49
195;pe;99
196;math;66
196;english;60
196;science;89
196;biology;58
196;geography;80
196;history;40
196;lo;73
196;it;50
196;pe;71
197;math;59
197;english;90
197;science;42
197;biology;78
197;geography;99
197;history;71
197;lo;69
197;it;80
197;pe;95
198;math;54
198;english;73
198;science;96
198;biology;77
198;geography;53
198;history;70
198;lo;50
198;it;96
198;pe;75
199;math;43
199;english;75
199;science;70
199;biology;87
199;geography;60
199;history;85
199;lo;62
199;it;96
199;pe;83
200;math;71
200;english;88
200;science;98
200;biology;49
200;geography;52
200;history;47
200;lo;86
200;it;64
200;pe;78
201;math;61
201;english;41
201;science;88
201;biology;57
201;geography;70
201;history;54
201;lo;61
201;it;44
201;pe;57
202;math;71
202;english;45
202;science;50
202;biology;72
202;geography;86
202;history;59
202;lo;52
202;it;42
202;pe;48
203;math;78
203;english;53
203;science;97
203;biology;55
203;geography;76
203;history;49
203;lo;43
203;it;86
203;pe;52
204;math;59
204;english;66
204;science;91
204;biology;94
204;geography;79
204;history;58
204;lo;77
204;it;87
204;pe;40
205;math;57
205;english;46
205;science;42
205;biology;87
205;geography;40
205;history;84
205;lo;69
205;it;69
205;pe;91
206;math;52
206;english;95
206;science;71
206;biology;51
206;geography;86
206;history;81
206;lo;84
206;it;93
206;pe;78
207;math;51
207;english;69
207;science;71
207;biology;90
207;geography;52
207;history;78
207;lo;96
207;it;93
207;pe;69
208;math;58
208;english;70
208;science;100
208;biology;47
208;geography;62
208;history;84
208;lo;89
208;it;85
208;pe;69
209;math;97
209;english;96
209;science;66
209;biology;52
209;geography;95
209;history;86
209;lo;51
209;it;76
209;pe;57
210;math;61
210;english;58
210;science;69
210;biology;90
210;geography;57
210;history;82
210;lo;73
210;it;98
210;pe;88
211;math;63
211;english;81
211;science;69
211;biology;60
211;geography;62
211;history;76
211;lo;77
211;it;65
211;pe;70
212;math;65
212;english;48
212;science;60
212;biology;47
212;geography;83
212;history;89
212;lo;65
212;it;62
212;pe;41
213;math;84
213;english;77
213;science;65
213;biology;54
213;geography;93
213;history;84
213;lo;99
213;it;94
213;pe;85
214;math;93
214;english;57
214;science;92
214;biology;52
214;geography;66
214;history;57
214;lo;70
214;it;92
214;pe;65
215;math;86
215;english;49
215;science;48
215;biology;77
215;geography;73
215;history;61
215;lo;74
215;it;89
215;pe;46
216;math;85
216;english;77
216;science;89
216;biology;96
216;geography;57
216;history;67
216;lo;65
216;it;52
216;pe;48
217;math;48
217;english;79
217;science;74
217;biology;81
217;geography;74
217;history;80
217;lo;82
217;it;58
217;pe;45
218;math;93
218;english;46
218;science;70
218;biology;89
218;geography;90
218;history;90
218;lo;44
218;it;99
218;pe;79
219;math;67
219;english;74
219;science;80
219;biology;70
219;geography;62
219;history;50
219;lo;40
219;it;64
219;pe;74
220;math;98
220;english;45
220;science;60
220;biology;62
220;geography;84
220;history;83
220;lo;57
220;it;61
220;pe;49
221;math;55
221;english;87
221;science;57
221;biology;74
221;geography;66
221;history;99
221;lo;48
221;it;86
221;pe;53
222;math;91
222;english;83
222;science;63
222;biology;40
222;geography;48
222;history;84
222;lo;98
222;it;69
222;pe;66
223;math;83
223;english;86
223;science;92
223;biology;90
223;geography;82
223;history;71
223;lo;100
223;it;50
223;pe;48
224;math;59
224;english;59
224;science;62
224;biology;86
224;geography;69
224;history;43
224;lo;52
224;it;92
224;pe;77
225;math;78
225;english;91
225;science;91
225;biology;66
225;geography;75
225;history;57
225;lo;62
225;it;72
225;pe;56
226;math;62
226;english;53
226;science;41
226;biology;71
226;geography;66
226;history;52
226;lo;67
226;it;61
226;pe;60
227;math;41
227;english;52
227;science;50
227;biology;95
227;geography;60
227;history;100
227;lo;95
227;it;40
227;pe;92
228;math;50
228;english;40
228;science;45
228;biology;86
228;geography;46
228;history;48
228;lo;44
228;it;92
228;pe;50
229;math;85
229;english;91
229;science;48
229;biology;63
229;geography;79
229;history;50
229;lo;98
229;it;86
229;pe;46
230;math;52
230;english;58
230;science;68
230;biology;98
230;geography;58
230;history;77
230;lo;41
230;it;52
230;pe;53
231;math;42
231;english;96
231;science;91
231;biology;53
231;geography;62
231;history;93
231;lo;47
231;it;88
231;pe;64
232;math;93
232;english;91
232;science;44
232;biology;72
232;geography;81
232;history;93
232;lo;80
232;it;88
232;pe;40
233;math;55
233;english;70
233;science;99
233;biology;65
233;geography;66
233;history;79
233;lo;75
233;it;49
233;pe;91
234;math;93
234;english;68
234;science;74
234;biology;52
234;geography;93
234;history;42
234;lo;79
234;it;80
234;pe;40
235;math;50
235;english;77
235;science;53
235;biology;90
235;geography;81
235;history;55
235;lo;46
235;it;40
235;pe;56
236;math;81
236;english;54
236;science;58
236;biology;83
236;geography;68
236;history;68
236;lo;79
236;it;77
236;pe;97
237;math;85
237;english;66
237;science;96
237;biology;50
237;geography;45
237;history;46
237;lo;62
237;it;97
237;pe;51
238;math;82
238;english;69
238;science;75
238;biology;54
238;geography;94
238;history;76
238;lo;80
238;it;57
238;pe;70
239;math;68
239;english;76
239;science;58
239;biology;51
239;geography;78
239;history;41
239;lo;46
239;it;61
239;pe;61
240;math;86
240;english;89
240;science;86
240;biology;68
240;geography;78
240;history;67
240;lo;65
240;it;42
240;pe;70
241;math;92
241;english;89
241;science;66
241;biology;77
241;geography;99
241;history;77
241;lo;86
241;it;86
241;pe;69
